"Date","Year","Month","MonthName","Decade","Station","StationName","Network","City","County","Lat","Lon","Elev_m","Tmax_C","Tmin_C","Tmed_C","Tdew_C","RHmax","RHmin","RHmed","Precip_mm","THImax","THImin","THImed","THImax_cat","THI75","THI79","THI84","THImax_rh","THImin_rh","THImed_rh","Imputed","ImputedVar"
2006-01-27,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,9.93,-5.31,2.31,-8.84,81.44,22.02,51.73,0,47.95,32.7,40.33,"Normal",0,0,0,53.36,26.09,39.73,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-28,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,13.63,-3.15,5.24,-4.31,86.71,26.92,56.81,0,53.28,36.5,44.89,"Normal",0,0,0,57.1,28.67,42.89,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-29,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,15.57,4,9.79,4,91.91,65.98,78.95,0,58.21,46.65,52.43,"Normal",0,0,0,59.62,40.05,49.84,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-30,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,18.28,7.32,12.8,5.78,91.31,52.3,71.81,0,61.56,50.6,56.08,"Normal",0,0,0,63.05,45.79,54.42,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-31,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,11.27,-0.29,5.49,-2.11,87.59,45.18,66.39,9.24,51.71,40.15,45.93,"Normal",0,0,0,54,33.3,43.65,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-01,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,10.84,-3.24,3.8,-4.96,85.64,32.49,59.07,0,50.25,36.17,43.21,"Normal",0,0,0,53.91,28.7,41.31,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-02,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,13.53,-0.81,6.36,-0.81,90.2,49.83,70.02,0.51,54.43,40.09,47.26,"Normal",0,0,0,56.78,32.03,44.4,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-03,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,19.28,9.03,14.15,7.32,91.32,53.75,72.54,0.25,63.12,52.86,57.99,"Normal",0,0,0,64.45,48.71,56.58,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-04,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,19.28,4.09,11.69,4.09,91.73,52.03,71.88,10.23,61.95,46.77,54.36,"Normal",0,0,0,64.36,40.22,52.29,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-05,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,7.51,-2.01,2.75,-6.4,81.37,36.27,58.82,0,46.41,36.89,41.65,"Normal",0,0,0,49.91,31.44,40.67,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-06,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,8.34,-3.95,2.19,-6.67,83.26,33.29,58.28,0,47.13,34.85,40.99,"Normal",0,0,0,51.05,27.96,39.5,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-07,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,9.48,-1.24,4.12,-6.18,80.05,29.75,54.9,0,48.45,37.73,43.09,"Normal",0,0,0,52.52,32.89,42.7,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-08,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,8.94,-5.05,1.95,-8,82.1,26.64,54.37,0,47.26,33.27,40.26,"Normal",0,0,0,52.1,26.39,39.25,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-09,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,6.69,-4.56,1.06,-8.66,80.19,30.61,55.4,0,44.77,33.53,39.15,"Normal",0,0,0,49.39,27.55,38.47,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-10,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,9.86,-5,2.43,-7.68,82.54,25.4,53.97,0,48.3,33.44,40.87,"Normal",0,0,0,53.14,26.39,39.76,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
